,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,3,1,person,860.4627004228194,476.68081328686566,[783.10130107 298.13907205 937.82409978 655.22255453]
0,3,2,person,304.2136578493904,439.2822128631116,[265.18663895 334.36283763 343.24067675 544.20158809]
0,3,3,person,708.7760930074785,446.0,[679.433453   362.98334576 738.11873302 529.01665424]
0,3,4,person,391.9061975006583,454.4382145182203,[350.48986037 373.89242876 433.32253463 534.98400028]
0,3,5,person,602.9326909391101,436.61022232343646,[578.78004407 366.22044465 627.08533781 507.        ]
0,3,6,person,242.74716046571208,457.16093540949066,[209.41769756 366.45648894 276.07662337 547.86538188]
0,3,7,person,763.1103104480062,438.48390511363226,[738.0415621  369.         788.17905879 507.96781023]
0,3,8,person,997.5,440.3988509693307,[ 969.06941751  365.01625609 1025.93058249  515.78144584]
0,3,9,person,562.2184340947317,436.1010934653304,[539.47829685 366.         584.95857134 506.20218693]
0,3,10,person,167.0,440.61022232343646,[143.88495925 387.22044465 190.11504075 494.        ]
0,4,1,person,852.1542668087106,475.9352411862057,[775.70554165 299.21798819 928.60299196 652.65249418]
0,4,2,person,300.57988315973495,439.9099134695874,[261.87565263 335.88991369 339.28411369 543.92991325]
0,4,3,person,709.0226907421268,446.3805903138118,[679.7722115  363.71352552 738.27316999 529.0476551 ]
0,4,4,person,386.934042724562,453.96968960189116,[346.61798446 375.26297734 427.25010099 532.67640187]
0,4,5,person,603.1885894424931,436.487833771334,[578.65968071 365.21463173 627.71749817 507.76103581]
0,4,6,person,237.6101606365691,457.3906329728353,[204.93558489 368.70083441 270.28473638 546.08043153]
0,4,7,person,766.7130811733616,438.070658878394,[741.84549611 369.         791.58066624 507.14131776]
0,4,8,person,996.7376899155903,440.15501043543804,[ 968.12934082  364.28493339 1025.34603901  516.02508748]
0,4,9,person,560.44197266364,436.34780903920966,[537.61694611 366.         583.26699922 506.69561808]
0,4,10,person,167.0,440.4877976951881,[143.56206123 386.21526817 190.43793877 494.76032722]
0,5,1,person,847.7446732094456,477.60501426205235,[771.7192018  301.87428623 923.77014462 653.3357423 ]
0,5,2,person,298.424853352834,440.4595091561698,[259.55142147 336.30147208 337.29828524 544.61754623]
0,5,3,person,709.8210383469143,446.1340698756502,[680.21001739 362.48337927 739.43205931 529.78476048]
0,5,4,person,383.22257829816533,453.11176995234337,[343.54195082 375.03166642 422.90320577 531.19187348]
0,5,5,person,604.0436407762761,436.45716832242414,[579.33405866 364.9076392  628.75322289 508.00669744]
0,5,6,person,235.89073037274437,455.8674680243694,[203.39034511 367.61536086 268.39111563 544.11957519]
0,5,7,person,767.4263673220041,438.32078037961514,[742.2638788  368.25866765 792.58885585 508.3828931 ]
0,5,8,person,996.8601150607324,440.0622693692931,[ 968.17869032  364.03945727 1025.5415398   516.08508147]
0,5,9,person,560.6350243848631,436.0707857176714,[537.66214742 365.26220782 583.60790135 506.87936362]
0,5,10,person,167.0,440.4568696319902,[143.51189196 385.90733413 190.48810804 495.00640514]
0,6,1,person,843.804561024124,478.55912699709165,[767.32037929 302.06041671 920.28874276 655.05783728]
0,6,2,person,296.7508333286572,443.13557969897613,[258.91164128 342.12773698 334.59002537 544.14342242]
0,6,3,person,710.429273950559,446.4021163038312,[680.31249437 361.35709854 740.54605353 531.44713407]
0,6,4,person,379.63335989401344,450.3320787763011,[339.37836776 369.91173361 419.88835203 530.75242394]
0,6,5,person,604.3544748862848,436.0983466978418,[579.4636937  364.12022705 629.24525607 508.07646634]
0,6,6,person,232.95550414310495,456.0665953279681,[199.75219155 365.64330382 266.15881674 546.48988683]
