,frame_number,track_id,object_type,xcenter,ycenter,bbox
0,3,1,person,167.19397859685083,620.9138256431916,[127.17408652 519.79464834 207.21387067 722.03300295]
0,3,2,person,325.4273246745332,625.9916457236527,[293.76978945 522.1912201  357.0848599  729.79207134]
0,3,3,person,1712.765595676087,587.0084049359173,[1696.89937362  561.         1728.63181774  613.01680987]
0,4,1,person,160.83542591842178,624.519962770816,[118.96801621 518.54254073 202.70283563 730.49738481]
0,4,2,person,321.1251449840562,626.3546963182575,[289.01898507 521.12284663 353.2313049  731.586546  ]
0,4,3,person,1712.9909728576672,587.0999252760198,[1697.06891949  561.         1728.91302622  613.19985055]
0,4,5,person,1296.5,583.5,[1283.  560. 1310.  607.]
0,5,1,person,152.7645260217733,625.2962919832992,[110.07980927 517.4023871  195.44924277 733.19019687]
0,5,2,person,317.2992452612634,626.4781411973249,[285.09677651 521.54275586 349.50171401 731.41352654]
0,5,3,person,1714.3410617846853,586.5856130063287,[1698.13632934  560.12381741 1730.54579423  613.0474086 ]
0,5,5,person,1296.8816255925813,583.5,[1283.36297033  560.         1310.40028086  607.        ]
0,5,6,person,1133.873216599161,588.0,[1122.88773258  568.21845755 1144.85870062  607.78154245]
0,6,1,person,144.13783456411528,626.889603789588,[100.25298121 516.30270063 188.02268792 737.47650695]
0,6,2,person,313.66132674416644,627.229926213931,[281.47452097 523.1573536  345.84813252 731.30249882]
0,6,3,person,1717.1375060877585,588.3177250861464,[1701.51694478  562.87122448 1732.75806739  613.76422569]
0,6,5,person,1298.479116326076,584.2376629177833,[1284.54030878  560.         1312.41792387  608.47532584]
0,6,6,person,1133.6138186331511,588.3691633940236,[1122.25810024  567.92867973 1144.96953702  608.80964705]
0,7,1,person,136.800903292373,626.7184888862517,[ 93.06174765 516.60991931 180.54005893 736.82705846]
0,7,2,person,308.3483253921587,627.8386477836484,[275.58551412 523.0439634  341.11113666 732.63333217]
0,7,3,person,1719.113036335149,589.9650487268541,[1703.77461171  565.21977133 1734.45146096  614.71032613]
0,7,5,person,1298.3009282618534,584.4832007728523,[1284.2256004   560.         1312.37625613  608.96640155]
0,7,6,person,1133.5707331956226,588.4896715698887,[1121.91177858  567.50335761 1145.22968782  609.47598553]
0,7,7,person,1452.9339322806145,589.6335549973141,[1437.79698612  562.96301554 1468.07087844  616.30409446]
0,8,1,person,131.64584304043456,626.5808050901153,[ 87.79231125 516.07124604 175.49937483 737.09036414]
0,8,2,person,303.85644698382794,630.1044018296343,[270.97428672 526.43705411 336.73860725 733.77174954]
0,8,3,person,1721.8495537730944,591.5675804267512,[1707.61900001  568.81215796 1736.08010754  614.3230029 ]
0,8,5,person,1297.8632163954753,584.5607671348243,[1283.77768252  560.         1311.94875027  609.12153427]
0,8,7,person,1454.0560032445437,589.1433887082933,[1438.34037607  561.39516355 1469.77163042  616.89161386]
0,9,1,person,127.97556104051732,625.8097615815102,[ 83.86011308 513.86657106 172.09100901 737.75295211]
0,9,2,person,298.97841990043753,631.2604568630494,[265.64798447 528.36417797 332.30885533 734.15673576]
0,9,3,person,1723.0951258304747,588.8821769971385,[1707.6632575   564.31915698 1738.52699416  613.44519702]
0,9,5,person,1297.6863167578394,583.8950312709874,[1283.6258958   559.31618088 1311.74673772  608.47388166]
0,9,6,person,1133.4982798998235,587.6371259534453,[1122.06835244  566.96130456 1144.92820736  608.31294735]
0,9,7,person,1455.2922706862073,588.9456070046194,[1439.25704923  560.63309141 1471.32749214  617.2581226 ]
0,10,1,person,123.83310415049081,625.4887870635928,[ 79.39892151 511.72966953 168.26728679 739.2479046 ]
0,10,2,person,292.95452176734375,631.6540360711006,[259.16309888 530.40018297 326.74594465 732.90788917]
0,10,3,person,1723.175537718063,589.0134520170946,[1708.42116247  565.53482836 1737.92991297  612.49207567]
0,10,5,person,1297.9502155558018,583.6424897338081,[1283.54334712  558.38775094 1312.35708399  608.89722853]
0,10,6,person,1133.1299271994685,587.5201262864232,[1121.81285448  566.88319825 1144.44699992  608.15705432]
0,11,1,person,116.85751061079092,622.0330077894655,[ 73.74924701 510.95115326 159.96577421 733.11486232]
0,11,2,person,288.2103624955197,631.0873861315242,[253.53927172 529.75713972 322.88145327 732.41763254]
0,11,3,person,1722.751719758192,591.459484094328,[1709.16656389  570.11327053 1736.33687562  612.80569766]
0,11,5,person,1297.7092639399211,583.5482891629313,[1283.24057227  558.05068068 1312.17795561  609.04589764]
0,11,6,person,1133.0119476488535,588.1631475260608,[1121.79235719  567.53893521 1144.23153811  608.78735984]
0,11,7,person,1456.1911605300731,589.8429433591364,[1440.23553826  561.68684641 1472.1467828   617.99904031]
0,11,10,person,1903.897976031199,592.3897776765635,[1887.12960204  559.77955535 1920.66635003  625.        ]
0,12,1,person,109.77555133380231,621.0127102713012,[ 66.55769148 508.69019241 152.99341119 733.33522813]
0,12,2,person,283.6139497142008,630.519837239169,[248.24962951 529.4874155  318.97826992 731.55225898]
0,12,3,person,1723.9235543150287,590.9265618598204,[1709.46878812  568.21933195 1738.37832051  613.63379177]
0,12,5,person,1297.6099978350512,583.5124134088801,[1283.16970805  557.93299127 1312.05028762  609.09183555]
0,12,6,person,1132.972368789013,588.4002984234452,[1121.84858191  567.79004851 1144.09615567  609.01054834]
0,12,7,person,1457.1559361319896,589.868218142888,[1441.00616963  561.36952426 1473.30570263  618.36691203]
0,12,10,person,1904.8028841174287,592.1278219998794,[1887.9729834   559.255644   1921.63278483  625.        ]
0,13,1,person,102.36889968711498,619.9740881956566,[ 59.38124759 507.22097121 145.35655178 732.72720518]
0,13,2,person,278.4021342624769,630.95895102973,[241.95261939 528.68674883 314.85164914 733.23115323]
0,13,3,person,1725.646642673109,591.0872141075167,[1711.46240686  568.93555972 1739.83087849  613.2388685 ]
0,13,5,person,1297.899073286885,583.8309082803562,[1283.97154102  559.22531235 1311.82660556  608.43650421]
0,13,6,person,1131.9577815932255,588.4872486461563,[1120.88653842  567.89102653 1143.02902476  609.08347076]
0,13,10,person,1904.3386154393284,592.4052315037035,[1887.67970903  559.81046301 1920.99752185  625.        ]
0,14,1,person,94.83232470532326,619.5850052573965,[ 52.26266737 507.36708716 137.40198204 731.80292335]
0,14,2,person,270.3125268451385,630.7768918481192,[232.80216371 528.36992482 307.82288998 733.18385888]
0,14,3,person,1726.5840072379237,590.1095390654575,[1711.75350842  567.13716671 1741.41450605  613.08191142]
0,14,5,person,1298.0137083417612,583.8571472585567,[1284.0449259   559.17867353 1311.98249078  608.53562098]
0,14,6,person,1131.2482517991994,588.850802412338,[1120.73973256  569.26790959 1141.75677104  608.43369523]
0,14,10,person,1903.4371795243894,592.4977352779306,[1886.12315774  558.55749412 1920.75120131  626.43797644]
0,14,11,person,1875.8474040179108,595.0084049359173,[1863.02379872  569.         1888.67100932  621.01680987]
0,15,1,person,86.92053838558309,619.7781315020745,[ 44.4449607  507.46817261 129.39611607 732.08809039]
0,15,2,person,265.7889342809525,629.696191661904,[227.28625125 527.568685   304.29161731 731.82369833]
0,15,3,person,1727.5590399266998,589.4205537092769,[1713.60887704  567.80391051 1741.50920282  611.03719691]
0,15,5,person,1298.4214602429063,580.0319740463638,[1283.7835649   554.29584276 1313.05935559  605.76810534]
0,15,6,person,1130.9723484810934,588.9537497121731,[1120.46124353  569.36603543 1141.48345344  608.54146399]
0,15,10,person,1901.7473486752601,591.1505836278604,[1884.49530241  557.43716113 1918.99939494  624.86400613]
0,15,11,person,1872.8314934835323,592.7441921649431,[1859.99346217  566.72020333 1885.6695248   618.768181  ]
0,16,1,person,82.52017012386337,619.5291630409506,[ 40.18493165 506.88013297 124.8554086  732.17819311]
0,16,2,person,263.62440135767196,628.6135831369368,[224.45673587 525.92522256 302.79206684 731.30194372]
0,16,3,person,1728.6355530356998,589.454434547712,[1714.87628933  568.13360706 1742.39481674  610.77526203]
0,16,5,person,1300.8622282269873,579.2023917689212,[1286.72190404  554.56427825 1315.00255241  603.84050529]
0,16,10,person,1903.1833953769183,589.2720820444757,[1885.73580812  554.97006112 1920.63098263  623.57410297]
0,16,11,person,1875.1894318072336,592.007113793087,[1863.00055939  567.4545843  1887.37830422  616.55964328]
0,17,1,person,77.7955091047672,619.4424493962542,[ 35.40133593 506.68912131 120.18968228 732.19577748]
0,17,2,person,262.32821340762496,627.8732726469912,[222.33348853 523.98023108 302.32293828 731.76631422]
